noise_ratio,algorithm,SHD of CPDAG,Precision of Skeleton,Recall of Skeleton
4.0,CALM,41.4 ± 5.3,0.98 ± 0.03,0.54 ± 0.06
4.0,GOLEM-NV-l1,93.8 ± 10.0,0.48 ± 0.04,0.43 ± 0.04
4.0,NOTEARS,2.4 ± 2.9,0.98 ± 0.03,1.00 ± 0.00
4.0,PC,12.8 ± 9.2,0.98 ± 0.02,0.98 ± 0.02
4.0,FGES,12.8 ± 4.9,0.94 ± 0.03,1.00 ± 0.00
4.0,cd_A,57.0 ± 17.8,0.71 ± 0.08,0.81 ± 0.06
4.0,cd_A_weakfaith,8.6 ± 9.2,0.97 ± 0.03,0.96 ± 0.04
16.0,CALM,53.0 ± 6.4,0.91 ± 0.05,0.52 ± 0.10
16.0,GOLEM-NV-l1,99.8 ± 15.4,0.42 ± 0.11,0.34 ± 0.09
16.0,NOTEARS,17.0 ± 14.7,0.91 ± 0.06,0.96 ± 0.05
16.0,PC,12.4 ± 11.1,0.99 ± 0.03,0.97 ± 0.03
16.0,FGES,15.0 ± 10.4,0.92 ± 0.02,1.00 ± 0.00
16.0,cd_A,79.0 ± 33.1,0.66 ± 0.12,0.84 ± 0.08
16.0,cd_A_weakfaith,10.2 ± 6.2,0.97 ± 0.03,0.95 ± 0.02
